"idSensore","NomeTipoSensore","UnitaMisura","IdStazione","NomeStazione","Quota","Provincia","Comune","UTM_Nord","UTM_Est","lat","lng"
"5805","Monossido di Carbonio","mg/m³","574","Lecco v. Amendola","214","LC","Lecco","5077479","530713","45.85019631","9.39558125"
"5809","Monossido di Carbonio","mg/m³","600","Lodi v.Vignati","80","LO","Lodi","5017060","538042","45.30601628","9.48527511"
"5812","Monossido di Carbonio","mg/m³","606","San Giuliano Milanese via Milano","97","MI","San Giuliano Milanese","5027003","522127","45.39619767","9.28269897"
"5814","Monossido di Carbonio","mg/m³","551","Arconate v. De Gasperi","182","MI","Arconate","5043898","488082","45.54852147","8.84732669"
"5827","Monossido di Carbonio","mg/m³","501","Milano v.Marche","129","MI","Milano","5038105","514918","45.49631883","9.19093444"
"5834","Monossido di Carbonio","mg/m³","548","Milano v.Senato","118","MI","Milano","5035238","515435","45.470501","9.19746075"
"5835","Monossido di Carbonio","mg/m³","504","Sesto San Giovanni v. Cesare da Sesto","139","MI","Sesto San Giovanni","5042386","518435","45.53476819","9.23610903"
"5842","Monossido di Carbonio","mg/m³","571","Bormio v.Monte Braulio","1225","SO","Bormio","5147136","605598","46.46952397","10.37543275"
"5845","Monossido di Carbonio","mg/m³","569","Sondrio v.Mazzini","307","SO","Sondrio","5113078","567173","46.16797103","9.87014581"
"5853","Monossido di Carbonio","mg/m³","560","Varese v.Copelli","383","VA","Varese","5073728","486035","45.8169745","8.82024911"
"5950","Biossido di Azoto","µg/m³","626","Corte de' Cortesi con Cignone v. Villa Strada Forca","57","CR","Corte de' Cortesi con Cignone","5014380","578919","45.27848997","10.00620528"
"5952","Ozono","µg/m³","626","Corte de' Cortesi con Cignone v. Villa Strada Forca","57","CR","Corte de' Cortesi con Cignone","5014380","578919","45.27848997","10.00620528"
"5953","Biossido di Azoto","µg/m³","627","Cremona P.zza Cadorna","39","CR","Cremona","4998110","579872","45.13195042","10.01574064"
"5958","Biossido di Azoto","µg/m³","629","Crema v.XI febbraio","79","CR","Crema","5023885","555127","45.36631075","9.70395139"
"5960","Ozono","µg/m³","629","Crema v.XI febbraio","79","CR","Crema","5023885","555127","45.36631075","9.70395139"
"5965","Biossido di Azoto","µg/m³","633","Soresina v. Landriani","70","CR","Soresina","5014860","567712","45.28398","9.86340258"
"5989","Benzene","µg/m³","584","Bergamo v.Garibaldi","249","BG","Bergamo","5060449","551482","45.69568669","9.66126061"
"6005","Benzene","µg/m³","627","Cremona P.zza Cadorna","39","CR","Cremona","4998110","579872","45.13195042","10.01574064"
"6057","Benzene","µg/m³","548","Milano v.Senato","118","MI","Milano","5035238","515435","45.470501","9.19746075"
"6411","Monossido di Carbonio","mg/m³","627","Cremona P.zza Cadorna","39","CR","Cremona","4998110","579872","45.13195042","10.01574064"
"6582","Ozono","µg/m³","561","Como v.Cattaneo","202","CO","Como","5073500","505203","45.81504217","9.06697886"
"6587","Biossido di Zolfo","µg/m³","574","Lecco v. Amendola","214","LC","Lecco","5077479","530713","45.85019631","9.39558125"
"6665","Ozono","µg/m³","565","Cantù v.Meucci","369","CO","Cantù","5064150","509783","45.73083728","9.12573936"
"6701","Biossido di Azoto","µg/m³","643","Pavia p.zza Minerva","77","PV","Pavia","5003660","511522","45.18633544","9.14667703"
"6705","Monossido di Carbonio","mg/m³","643","Pavia p.zza Minerva","77","PV","Pavia","5003660","511522","45.18633544","9.14667703"
"6761","Biossido di Azoto","µg/m³","649","Brescia v.Broletto","149","BS","Brescia","5043674","595467","45.54006456","10.22281989"
"6781","Biossido di Azoto","µg/m³","652","Brescia v.Turati","154","BS","Brescia","5043626","596168","45.53953611","10.23178722"
"6782","Monossido di Carbonio","mg/m³","652","Brescia v.Turati","154","BS","Brescia","5043626","596168","45.53953611","10.23178722"
"6798","Biossido di Azoto","µg/m³","654","Sarezzo v.Minelli","269","BS","Sarezzo","5055826","593900","45.64962671","10.20509022"
"6804","Ozono","µg/m³","654","Sarezzo v.Minelli","269","BS","Sarezzo","5055826","593900","45.64962671","10.20509022"
"6813","Biossido di Azoto","µg/m³","656","Gambara v.Parma","47","BS","Gambara","5011493","601945","45.24955194","10.29913"
"6826","Biossido di Azoto","µg/m³","657","Lonato del Garda v.del Marchesino","180","BS","Lonato del Garda","5035536","615762","45.46375819","10.48078183"
"6832","Ozono","µg/m³","657","Lonato del Garda v.del Marchesino","180","BS","Lonato del Garda","5035536","615762","45.46375819","10.48078183"
"6841","Biossido di Azoto","µg/m³","659","Odolo v.Praes","349","BS","Odolo","5055661","608260","45.64605175","10.38929672"
"6859","Biossido di Azoto","µg/m³","661","Rezzato v.De Gasperi","147","BS","Rezzato","5041110","604367","45.51571417","10.33624003"
"6870","Benzene","µg/m³","663","Mantova v.Ariosto","18","MN","Mantova","5000669","641770","45.14526864","10.80333489"
"6871","Biossido di Azoto","µg/m³","663","Mantova v.Ariosto","18","MN","Mantova","5000669","641770","45.14526864","10.80333489"
"6872","Biossido di Zolfo","µg/m³","663","Mantova v.Ariosto","18","MN","Mantova","5000669","641770","45.14526864","10.80333489"
"6877","Biossido di Azoto","µg/m³","664","Mantova p.zza Gramsci","18","MN","Mantova","5001351","640031","45.15175186","10.78141717"
"6879","Monossido di Carbonio","mg/m³","664","Mantova p.zza Gramsci","18","MN","Mantova","5001351","640031","45.15175186","10.78141717"
"6880","Biossido di Azoto","µg/m³","665","Viadana v. Cavalli","37","MN","Viadana","4975705","619759","44.92469933","10.51750417"
"6884","Ozono","µg/m³","665","Viadana v. Cavalli","37","MN","Viadana","4975705","619759","44.92469933","10.51750417"
"6904","Ozono","µg/m³","596","Osio Sotto v.per Levate","182","BG","Osio Sotto","5052072","547691","45.62055568","9.61173782"
"6919","PM10 (SM2005)","µg/m³","561","Como v.Cattaneo","202","CO","Como","5073500","505203","45.81504217","9.06697886"
"6939","PM10 (SM2005)","µg/m³","600","Lodi v.Vignati","80","LO","Lodi","5017060","538042","45.30601628","9.48527511"
"6947","PM10 (SM2005)","µg/m³","643","Pavia p.zza Minerva","77","PV","Pavia","5003660","511522","45.18633544","9.14667703"
"6951","PM10 (SM2005)","µg/m³","649","Brescia v.Broletto","149","BS","Brescia","5043674","595467","45.54006456","10.22281989"
"6952","PM10 (SM2005)","µg/m³","654","Sarezzo v.Minelli","269","BS","Sarezzo","5055826","593900","45.64962671","10.20509022"
"6955","PM10 (SM2005)","µg/m³","663","Mantova v.Ariosto","18","MN","Mantova","5000669","641770","45.14526864","10.80333489"
"6962","PM10 (SM2005)","µg/m³","595","Filago v.Don Milani","190","BG","Filago","5053519","543342","45.63387247","9.55609572"
"6966","Biossido di Zolfo","µg/m³","669","Brescia Villaggio Sereno","70","BS","Brescia","5040636","593101","45.51306214","10.19190606"
"9740","PM10 (SM2005)","µg/m³","604","Tavazzano con Villavesco v.Cascina Bagnolo","85","LO","Tavazzano con Villavesco","5019734","532492","45.33036444","9.41464375"
"9772","Benzene","µg/m³","600","Lodi v.Vignati","80","LO","Lodi","5017060","538042","45.30601628","9.48527511"
"9798","Monossido di Carbonio","mg/m³","670","Mantova S.Agnese","22","MN","Mantova","5002356","641122","45.16057658","10.79557331"
"9802","Biossido di Azoto","µg/m³","670","Mantova S.Agnese","22","MN","Mantova","5002356","641122","45.16057658","10.79557331"
"9831","PM10 (SM2005)","µg/m³","670","Mantova S.Agnese","22","MN","Mantova","5002356","641122","45.16057658","10.79557331"
"9833","Benzene","µg/m³","664","Mantova p.zza Gramsci","18","MN","Mantova","5001351","640031","45.15175186","10.78141717"
"9857","Biossido di Azoto","µg/m³","673","Voghera v.Pozzoni","90","PV","Voghera","4982900","500665","44.99955481","9.00844961"
"9859","Monossido di Carbonio","mg/m³","673","Voghera v.Pozzoni","90","PV","Voghera","4982900","500665","44.99955481","9.00844961"
"9861","Ozono","µg/m³","673","Voghera v.Pozzoni","90","PV","Voghera","4982900","500665","44.99955481","9.00844961"
"9872","PM10 (SM2005)","µg/m³","673","Voghera v.Pozzoni","90","PV","Voghera","4982900","500665","44.99955481","9.00844961"
"9877","Biossido di Azoto","µg/m³","674","Monza v.Machiavelli","162","MB","Monza","5047450","521343","45.574117","9.263808"
"9882","Ozono","µg/m³","674","Monza v.Machiavelli","162","MB","Monza","5047450","521343","45.574117","9.263808"
"9897","Biossido di Azoto","µg/m³","609","Casirate d'Adda v. Cimitero","108","BG","Casirate d'Adda","5038450","543458","45.49822794","9.55624181"
"9899","Ozono","µg/m³","609","Casirate d'Adda v. Cimitero","108","BG","Casirate d'Adda","5038450","543458","45.49822794","9.55624181"
"9925","Ozono","µg/m³","677","Cremona Via Fatebenefratelli","43","CR","Cremona","4999315","582066","45.14254358","10.04384767"
"9928","Biossido di Azoto","µg/m³","677","Cremona Via Fatebenefratelli","43","CR","Cremona","4999315","582066","45.14254358","10.04384767"
"9969","Biossido di Azoto","µg/m³","679","Valmadrera v.Pozzi","247","LC","Valmadrera","5076576","527307","45.84221272","9.35166247"
"9971","Monossido di Carbonio","mg/m³","679","Valmadrera v.Pozzi","247","LC","Valmadrera","5076576","527307","45.84221272","9.35166247"
"9972","Ozono","µg/m³","679","Valmadrera v.Pozzi","247","LC","Valmadrera","5076576","527307","45.84221272","9.35166247"
"9976","PM10 (SM2005)","µg/m³","679","Valmadrera v.Pozzi","247","LC","Valmadrera","5076576","527307","45.84221272","9.35166247"
"9991","Ozono","µg/m³","681","Moggio Loc. Penscei","1194","LC","Moggio","5084478","538586","45.91279097","9.49754261"
"9993","Biossido di Azoto","µg/m³","682","Ferrera Erbognone ENI","88","PV","Ferrera Erbognone","4995567","490094","45.11351117","8.87407772"
"9995","Monossido di Carbonio","mg/m³","682","Ferrera Erbognone ENI","88","PV","Ferrera Erbognone","4995567","490094","45.11351117","8.87407772"
"9997","Ozono","µg/m³","682","Ferrera Erbognone ENI","88","PV","Ferrera Erbognone","4995567","490094","45.11351117","8.87407772"
"9999","Biossido di Azoto","µg/m³","683","Cassano d'Adda 2-v.Milano","133","MI","Cassano d'Adda","5041567","540293","45.52647322","9.515991"
"10018","Benzene","µg/m³","685","Calusco d'Adda v. Caduti sul Lavoro","273","BG","Calusco d'Adda","5059767","537706","45.69043647","9.48426111"
"10019","Biossido di Azoto","µg/m³","685","Calusco d'Adda v. Caduti sul Lavoro","273","BG","Calusco d'Adda","5059767","537706","45.69043647","9.48426111"
"10020","Biossido di Zolfo","µg/m³","685","Calusco d'Adda v. Caduti sul Lavoro","273","BG","Calusco d'Adda","5059767","537706","45.69043647","9.48426111"
"10025","Ozono","µg/m³","685","Calusco d'Adda v. Caduti sul Lavoro","273","BG","Calusco d'Adda","5059767","537706","45.69043647","9.48426111"
"10027","PM10 (SM2005)","µg/m³","685","Calusco d'Adda v. Caduti sul Lavoro","273","BG","Calusco d'Adda","5059767","537706","45.69043647","9.48426111"
"10036","Benzene","µg/m³","673","Voghera v.Pozzoni","90","PV","Voghera","4982900","500665","44.99955481","9.00844961"
"10038","Biossido di Azoto","µg/m³","687","Ferno v.Di Dio","215","VA","Ferno","5051773","481053","45.61924753","8.75697656"
"10041","Ozono","µg/m³","687","Ferno v.Di Dio","215","VA","Ferno","5051773","481053","45.61924753","8.75697656"
"10070","Biossido di Zolfo","µg/m³","693","Sannazzaro de' Burgondi v.Traversi","85","PV","Sannazzaro de' Burgondi","4994371","492461","45.10277464","8.90418742"
"10072","PM10 (SM2005)","µg/m³","693","Sannazzaro de' Burgondi v.Traversi","85","PV","Sannazzaro de' Burgondi","4994371","492461","45.10277464","8.90418742"
"10079","Biossido di Azoto","µg/m³","695","Ponti sul Mincio v.San Martino","113","MN","Ponti sul Mincio","5030184","631718","45.41277633","10.68336214"
"10083","PM10 (SM2005)","µg/m³","695","Ponti sul Mincio v.San Martino","113","MN","Ponti sul Mincio","5030184","631718","45.41277633","10.68336214"
"10085","Particelle sospese PM2.5","µg/m³","695","Ponti sul Mincio v.San Martino","113","MN","Ponti sul Mincio","5030184","631718","45.41277633","10.68336214"
"10166","Benzene","µg/m³","703","Schivenoglia v. Malpasso","","MN","Schivenoglia","4986922","663580","45.01688067","11.07609728"
"10167","Biossido di Azoto","µg/m³","703","Schivenoglia v. Malpasso","","MN","Schivenoglia","4986922","663580","45.01688067","11.07609728"
"10168","Biossido di Zolfo","µg/m³","703","Schivenoglia v. Malpasso","","MN","Schivenoglia","4986922","663580","45.01688067","11.07609728"
"10169","Monossido di Carbonio","mg/m³","703","Schivenoglia v. Malpasso","","MN","Schivenoglia","4986922","663580","45.01688067","11.07609728"
"10171","Ozono","µg/m³","703","Schivenoglia v. Malpasso","","MN","Schivenoglia","4986922","663580","45.01688067","11.07609728"
"10259","Benzene","µg/m³","569","Sondrio v.Mazzini","307","SO","Sondrio","5113078","567173","46.16797103","9.87014581"
"10279","Biossido di Azoto","µg/m³","705","Milano Pascal Città Studi","122","MI","Milano","5036190","518405","45.478347","9.231667"
"10280","Biossido di Zolfo","µg/m³","705","Milano Pascal Città Studi","122","MI","Milano","5036190","518405","45.478347","9.231667"
"10282","Ozono","µg/m³","705","Milano Pascal Città Studi","122","MI","Milano","5036190","518405","45.478347","9.231667"
"10286","Biossido di Azoto","µg/m³","706","Lecco v.Sora","272","LC","Lecco","5078987","531045","45.86375372","9.39995481"
"10288","Ozono","µg/m³","706","Lecco v.Sora","272","LC","Lecco","5078987","531045","45.86375372","9.39995481"
"10301","Benzene","µg/m³","574","Lecco v. Amendola","214","LC","Lecco","5077479","530713","45.85019631","9.39558125"
"10326","Biossido di Azoto","µg/m³","708","Parona v. della Miseria","112","PV","Parona","5014300","480733","45.28194289","8.75433614"
"10327","Biossido di Zolfo","µg/m³","708","Parona v. della Miseria","112","PV","Parona","5014300","480733","45.28194289","8.75433614"
"10331","Biossido di Azoto","µg/m³","709","Vigevano v.Valletta","109","PV","Vigevano","5016690","487833","45.30361483","8.84480578"
"10335","PM10 (SM2005)","µg/m³","709","Vigevano v.Valletta","109","PV","Vigevano","5016690","487833","45.30361483","8.84480578"
"10343","PM10 (SM2005)","µg/m³","708","Parona v. della Miseria","112","PV","Parona","5014300","480733","45.28194289","8.75433614"
"10347","Particelle sospese PM2.5","µg/m³","670","Mantova S.Agnese","22","MN","Mantova","5002356","641122","45.16057658","10.79557331"
"10384","Benzene","µg/m³","693","Sannazzaro de' Burgondi v.Traversi","85","PV","Sannazzaro de' Burgondi","4994371","492461","45.10277464","8.90418742"
"10405","PM10 (SM2005)","µg/m³","584","Bergamo v.Garibaldi","249","BG","Bergamo","5060449","551482","45.69568669","9.66126061"
"10432","Biossido di Azoto","µg/m³","1264","Sondrio v.Paribelli","290","SO","Sondrio","5113073","567873","46.16785664","9.87921169"
"10437","Ozono","µg/m³","1264","Sondrio v.Paribelli","290","SO","Sondrio","5113073","567873","46.16785664","9.87921169"
"10452","Biossido di Azoto","µg/m³","1265","Lodi S.Alberto","76","LO","Lodi","5016706","538829","45.30278678","9.49528589"
"10454","Ozono","µg/m³","1265","Lodi S.Alberto","76","LO","Lodi","5016706","538829","45.30278678","9.49528589"
"10458","Biossido di Azoto","µg/m³","1266","Bertonico v.Moro","65","LO","Bertonico","5009105","552297","45.23349689","9.66625758"
"10463","Ozono","µg/m³","1266","Bertonico v.Moro","65","LO","Bertonico","5009105","552297","45.23349689","9.66625758"
"10506","Benzene","µg/m³","1269","Dalmine v.Verdi","207","BG","Dalmine","5055304","546847","45.64971","9.60123469"
"10507","Biossido di Azoto","µg/m³","1269","Dalmine v.Verdi","207","BG","Dalmine","5055304","546847","45.64971","9.60123469"
"10511","Monossido di Carbonio","mg/m³","1269","Dalmine v.Verdi","207","BG","Dalmine","5055304","546847","45.64971","9.60123469"
"10580","Biossido di Zolfo","µg/m³","627","Cremona P.zza Cadorna","39","CR","Cremona","4998110","579872","45.13195042","10.01574064"
"10581","Biossido di Azoto","µg/m³","1274","Perledo P.zza della stazione","212","LC","Perledo","5095846","522171","46.01583272","9.28641942"
"10584","Ozono","µg/m³","1274","Perledo P.zza della stazione","212","LC","Perledo","5095846","522171","46.01583272","9.28641942"
"11041","Biossido di Zolfo","µg/m³","674","Monza v.Machiavelli","162","MB","Monza","5047450","521343","45.574117","9.263808"
"12017","Biossido di Azoto","µg/m³","1297","Spinadesco v.Battisti","48","CR","Spinadesco","5000087","573153","45.15047339","9.93059842"
"12020","Ozono","µg/m³","1297","Spinadesco v.Battisti","48","CR","Spinadesco","5000087","573153","45.15047339","9.93059842"
"12570","Particelle sospese PM2.5","µg/m³","561","Como v.Cattaneo","202","CO","Como","5073500","505203","45.81504217","9.06697886"
"12574","Particelle sospese PM2.5","µg/m³","693","Sannazzaro de' Burgondi v.Traversi","85","PV","Sannazzaro de' Burgondi","4994371","492461","45.10277464","8.90418742"
"17126","Benzene","µg/m³","705","Milano Pascal Città Studi","122","MI","Milano","5036190","518405","45.478347","9.231667"
"17127","Benzene","µg/m³","501","Milano v.Marche","129","MI","Milano","5038105","514918","45.49631883","9.19093444"
"17286","Biossido di Azoto","µg/m³","1374","Monza Parco  ","181","MB","Monza","5049780","521452","45.603072","9.276156"
"17288","Ozono","µg/m³","1374","Monza Parco  ","181","MB","Monza","5049780","521452","45.603072","9.276156"
"17297","Ozono","µg/m³","583","Bergamo v.Meucci","249","BG","Bergamo","5059922","550116","45.69104328","9.64366092"
"20034","Biossido di Azoto","µg/m³","693","Sannazzaro de' Burgondi v.Traversi","85","PV","Sannazzaro de' Burgondi","4994371","492461","45.10277464","8.90418742"
"20035","PM10 (SM2005)","µg/m³","528","Milano Verziere","116","MI","Milano","5034443","515270","45.46334886","9.19532511"
"20041","Ozono","µg/m³","670","Mantova S.Agnese","22","MN","Mantova","5002356","641122","45.16057658","10.79557331"
"20154","Ozono","µg/m³","690","Mezzana Bigli loc. Casoni","73","PV","Mezzana Bigli","4990697","489679","45.06966728","8.86890217"
"20215","PM10 (SM2005)","µg/m³","596","Osio Sotto v.per Levate","182","BG","Osio Sotto","5052072","547691","45.62055568","9.61173782"
"20216","Biossido di Zolfo","µg/m³","690","Mezzana Bigli loc. Casoni","73","PV","Mezzana Bigli","4990697","489679","45.06966728","8.86890217"
"20401","Benzene","µg/m³","571","Bormio v.Monte Braulio","1225","SO","Bormio","5147136","605598","46.46952397","10.37543275"
"20430","PM10 (SM2005)","µg/m³","501","Milano v.Marche","129","MI","Milano","5038105","514918","45.49631883","9.19093444"
"20443","Biossido di Azoto","µg/m³","681","Moggio Loc. Penscei","1194","LC","Moggio","5084478","538586","45.91279097","9.49754261"
"20491","Biossido di Azoto","µg/m³","1800","Brescia S.Polo","124","BS","Brescia","5040227","598141","45.5086668","10.25637025"
"20495","Biossido di Azoto","µg/m³","1801","Brescia v.Tartaglia","151","BS","Brescia","5043948","594556","45.54264789","10.21120522"
"20496","PM10 (SM2005)","µg/m³","1801","Brescia v.Tartaglia","151","BS","Brescia","5043948","594556","45.54264789","10.21120522"
"20497","Benzene","µg/m³","1801","Brescia v.Tartaglia","151","BS","Brescia","5043948","594556","45.54264789","10.21120522"
"20530","Particelle sospese PM2.5","µg/m³","501","Milano v.Marche","129","MI","Milano","5038105","514918","45.49631883","9.19093444"
"20531","PM10 (SM2005)","µg/m³","574","Lecco v. Amendola","214","LC","Lecco","5077479","530713","45.85019631","9.39558125"
"20564","Particelle sospese PM2.5","µg/m³","1801","Brescia v.Tartaglia","151","BS","Brescia","5043948","594556","45.54264789","10.21120522"
"20569","Monossido di Carbonio","mg/m³","1801","Brescia v.Tartaglia","151","BS","Brescia","5043948","594556","45.54264789","10.21120522"
"20570","Ozono","µg/m³","659","Odolo v.Praes","349","BS","Odolo","5055661","608260","45.64605175","10.38929672"
"20574","Biossido di Zolfo","µg/m³","545","Motta Visconti v. De Gasperi","100","MI","Motta Visconti","5014273","499103","45.28196356","8.98857592"
"20575","Biossido di Zolfo","µg/m³","681","Moggio Loc. Penscei","1194","LC","Moggio","5084478","538586","45.91279097","9.49754261"
